seconds,576333.05.03.01,576034.04.03.01,576034.04.04.01,576031.02.04.01,576811.03.01.01,577301.02.03.01,576332.05.03.01,576031.02.03.01,578133.05.04.01,578133.08.04.01,578133.03.03.01,578133.05.03.01,577972.04.04.01,577972.05.03.01,578138.05.03.01,580200.04.02.02,582323.05.03.01,581874.05.10.01,582323.04.03.01,582721.04.03.01,582721.05.03.01,584469.06.10.01,584471.08.03.01,584470.20.10.01,584471.05.04.01,586529.05.03.01,586747.02.01.01,586747.03.01.01,586529.03.04.01,589340.06.09.01,589340.05.09.01,600735.09.06.01,600521.07.06.01,599564.03.02.01,602118.05.03.01,604145.02.02.01
345,-58.13525,-62.842335,-69.657326,-79.40979,-53.479717,-66.045464,-64.086639,-49.808105,-71.52964,-65.662766,-73.89576,-60.861275,-57.755474,-65.479004,-57.47134,-61.585011,-76.818886,-59.592632,-68.085228,-59.668877,-64.457161,-82.817116,-83.719086,-55.550354,-76.040535,-71.073006,-75.145805,-73.616951,-60.258617,-70.158966,-77.954498,-77.804291,-73.965019,-75.296524,-71.125511,-77.525116
360,-58.152363,-65.230789,-69.808029,-78.647018,-52.85778,-65.037682,-64.63298,-49.13541,-72.028511,-65.503754,-74.182274,-60.434673,-59.689796,-62.773052,-58.079651,-62.413307,-76.613136,-59.862858,-68.720741,-59.123409,-64.282455,-83.889305,-84.257317,-53.902412,-76.602058,-71.503853,-75.608299,-73.503815,-59.471237,-70.486481,-78.115334,-77.740372,-73.542366,-74.623802,-72.598785,-78.523834
375,-58.836021,-66.054314,-68.560089,-77.644279,-54.597446,-65.606056,-65.060074,-48.879509,-71.347046,-64.531998,-73.819313,-59.48032,-60.152889,-63.480923,-57.038986,-61.48769,-76.785469,-60.740662,-68.729088,-59.265476,-64.757355,-83.63018,-84.608284,-54.403381,-75.625168,-72.521011,-75.798409,-73.352112,-62.122108,-70.772774,-78.257721,-78.216446,-73.758095,-74.895798,-70.417419,-77.463509
390,-58.676517,-67.344383,-69.77993,-81.405945,-52.89489,-65.801704,-65.456932,-49.704254,-70.980873,-68.124054,-74.213516,-60.253204,-59.760899,-64.046608,-56.603519,-61.537701,-76.016045,-60.875153,-68.33474,-59.886642,-63.669518,-83.942146,-85.630119,-53.937206,-76.106598,-73.252914,-75.705521,-73.777962,-61.790955,-70.202011,-78.150681,-77.844864,-75.455177,-73.789772,-69.610458,-77.741943
405,-58.290897,-66.196251,-69.621925,-80.339111,-53.793705,-65.871735,-64.004265,-50.259949,-71.060959,-69.011421,-73.516594,-60.211708,-59.657482,-65.887848,-59.121872,-62.062668,-75.952774,-59.666183,-67.814407,-60.144444,-63.436882,-83.956352,-84.714073,-53.886448,-75.070076,-74.376953,-74.590858,-73.874573,-61.548874,-68.801994,-77.832008,-77.660378,-74.024353,-75.22216,-68.923882,-77.055367
420,-59.199688,-66.60891,-69.475121,-80.099983,-53.619183,-65.450348,-63.793911,-49.851067,-70.987549,-69.50396,-75.107239,-60.643585,-60.022964,-66.018745,-58.131668,-63.144615,-75.829964,-59.783478,-68.033043,-59.858616,-63.354492,-83.496567,-84.431389,-54.016628,-74.857208,-75.458977,-74.592087,-74.25219,-61.543568,-61.949829,-78.147949,-77.268852,-74.775696,-74.863297,-69.510109,-77.247566
435,-58.291172,-66.850082,-69.708099,-81.003601,-54.320244,-65.197037,-64.430946,-49.800488,-71.228714,-72.733521,-73.721008,-60.015827,-60.594616,-66.998238,-58.837204,-62.258053,-75.888298,-59.447277,-68.053963,-59.657848,-63.487423,-83.728401,-84.081467,-54.649132,-75.328285,-76.239243,-75.481133,-73.403496,-62.256004,-38.586594,-78.275215,-77.274124,-74.462013,-74.758865,-70.252182,-76.953613
450,-55.09132,-65.897324,-70.135422,-81.274651,-53.518417,-65.532738,-64.083618,-49.897701,-71.099411,-72.310738,-73.190468,-60.254963,-60.634296,-65.812119,-58.327347,-61.449924,-75.864235,-58.552059,-68.133408,-60.340328,-63.464798,-82.203712,-83.687355,-54.846401,-75.697403,-76.399872,-74.84745,-73.853531,-61.550541,-36.83733,-78.133148,-76.724983,-74.064186,-75.092445,-70.752617,-77.213417
465,-54.190285,-65.901039,-70.359642,-79.595314,-52.253757,-66.339523,-64.645538,-48.885094,-70.893394,-70.765167,-73.598274,-60.205288,-60.275326,-66.859901,-58.177155,-62.502232,-75.841156,-58.892521,-66.981514,-59.998871,-63.282188,-81.46035,-83.253609,-53.598873,-75.130844,-76.867287,-74.863022,-73.232826,-61.056961,-27.099199,-78.220169,-76.638481,-74.472031,-74.959076,-72.109734,-77.362907
480,-54.787956,-61.654808,-70.369698,-80.682968,-51.575409,-65.658722,-64.223763,-48.374611,-70.691895,-72.856209,-74.056946,-60.31464,-60.393303,-66.961273,-58.186234,-62.377441,-76.244606,-58.693359,-66.01162,-60.228416,-63.268272,-79.786804,-83.261879,-54.001003,-75.615654,-76.209061,-74.816696,-72.824089,-61.384449,-21.008537,-78.245186,-76.675995,-73.644241,-75.036339,-70.954941,-77.650887
495,-54.826729,-50.768612,-70.727013,-80.551956,-51.735493,-65.680099,-64.871346,-49.32695,-70.755989,-72.354782,-74.965683,-60.571384,-60.815086,-65.770462,-58.764675,-61.84631,-75.311081,-59.01738,-65.046509,-60.193573,-63.075348,-80.578148,-83.124702,-53.929371,-74.977753,-77.08139,-73.906578,-72.333199,-60.178024,-23.014072,-77.268532,-76.513901,-73.592461,-73.790146,-70.673981,-77.753662
510,-53.228725,-28.649767,-70.286667,-81.829742,-51.174782,-65.103401,-64.581894,-48.537983,-70.760941,-71.467636,-75.541801,-60.350666,-61.40081,-63.972332,-58.681202,-62.964771,-74.068642,-59.067368,-67.132477,-60.487545,-63.033852,-81.743057,-83.461113,-54.417419,-76.407776,-77.440903,-73.864914,-72.015945,-60.610069,-23.148714,-77.54821,-76.33535,-72.939606,-73.844589,-68.315224,-77.542198
525,-51.959667,-32.948093,-70.897377,-81.298325,-50.212532,-65.468895,-64.916542,-48.842083,-70.529312,-72.682838,-75.452721,-60.463703,-61.346333,-63.563068,-58.549957,-61.988972,-73.253258,-59.547363,-66.34626,-60.648987,-62.73415,-81.635971,-83.225883,-54.273872,-76.430885,-77.780762,-73.986366,-71.822258,-61.850143,-24.68511,-78.265923,-76.616684,-72.797218,-73.88044,-70.622093,-77.939621
540,-51.114014,-34.403564,-70.460159,-81.684647,-50.528252,-65.599434,-65.300789,-48.806549,-70.516914,-71.193382,-74.769417,-60.408043,-60.621574,-64.752968,-58.734837,-61.639614,-72.94442,-59.687134,-66.887413,-60.518894,-62.660412,-80.091675,-82.805389,-54.367096,-76.110703,-77.705063,-73.877731,-71.798805,-62.056648,-24.289545,-78.679642,-76.348373,-72.464775,-73.514297,-71.321594,-77.960526
555,-50.744526,-37.299004,-70.783203,-82.003456,-50.160656,-65.72467,-65.792145,-48.569183,-70.311455,-71.586044,-74.783684,-60.677368,-61.480213,-63.966747,-59.094597,-62.145473,-73.012482,-60.123463,-67.147995,-60.542038,-62.387562,-82.609665,-83.14608,-54.221458,-75.944893,-77.947334,-73.556053,-70.891594,-62.359814,-25.554281,-77.821899,-76.821686,-72.435524,-73.617325,-71.820145,-77.984901
570,-50.988911,-38.180809,-70.752548,-82.628578,-49.832905,-65.800362,-65.547897,-49.280678,-70.497696,-73.027069,-74.711235,-60.510979,-60.716702,-63.64341,-58.378418,-62.135406,-73.066727,-59.952,-66.864334,-59.942898,-62.713345,-83.22953,-82.472527,-54.910328,-74.919052,-78.127625,-73.847946,-70.211494,-62.277607,-25.730907,-77.485161,-76.973694,-71.893028,-73.797844,-71.810944,-78.858826
585,-50.797256,-39.75631,-70.232864,-82.43895,-50.100986,-66.308716,-65.503403,-49.406532,-70.187111,-73.231575,-74.911346,-60.185905,-61.452141,-63.489902,-58.583988,-61.969776,-73.332802,-59.664448,-67.722023,-59.951744,-62.667461,-83.134682,-82.384827,-54.540485,-75.753044,-78.081032,-73.329536,-70.156677,-61.903133,-26.140255,-77.38385,-76.825096,-71.782845,-74.047638,-71.369171,-76.01104
