name,species,experiment_type,treatment,after_treatment,common_potential,cell_type,notes,AP_peak,AP_amp,max_dvdt,min_dvdt,halfwidth,resonance_freq,cutoff,input_R,sag,RMP,EPSC_5sec,EPSC_Hz,EPSC_amp,puff_change,puff_outcome,FI_50,FI_100,FI_150,FI_200,FI_250,FI_300,FI_350,FI_400,FI_450,FI_500,FI_550,FI_600,FI_650,FI_700,FI_750,FI_800,FI_850,FI_900,Layer,topLeaf_label
Chat-IRES-Cre-neo;Ai14-628761.05.03.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,46.99707,86.199905,368.65234,-120.23926,0.76733398,1.6818181,5.4463649,111.19288,1.1574308,-66.55793,50,10,7.137045,-1,hyperpolarized,0,6,17,23,29,34,38,41,43,46,,,,,,,,,,
Chat-IRES-Cre-neo;Ai14-628761.05.03.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,33.538818,74.11496,293.5791,-108.94775,0.83276367,1.6818181,5.2205024,135.71191,1.1114439,-67.813934,31.41666667,6.283333333,6,-1,hyperpolarized,0,9,20,29,35,40,44,46,48,50,52,,,,,,,,,
Sst-IRES-Cre;Ai14-628999.05.03.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,37.017822,72.602333,234.68018,-76.293945,0.89331055,0.5,1.5500708,211.35361,1.0964396,-60.422333,15.53846154,3.107692308,6.7833629,0,no change,6,11,16,21,25,29,31,35,38,40,,,,,,,,,,
Sst-IRES-Cre;Ai14-628999.05.03.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,36.346436,71.689194,234.06982,-76.599121,0.88330078,0.5,1.6389292,169.03778,1.1923689,-60.101028,14.66666667,2.933333333,6.817903,0,no change,5,11,16,20,24,28,30,33,35,36,,,,,,,,,,
Sst-IRES-Cre;Ai14-628999.04.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,47.363281,87.22287,343.32275,-92.163086,0.87231445,2,4.2511368,76.960518,1.1577216,-67.9711,43.2,8.64,8.133781,-4,hyperpolarized,0,0,2,7,11,14,18,21,23,24,,,,,,,,,,
Sst-IRES-Cre;Ai14-628999.04.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,43.487549,85.003113,321.04492,-103.14941,0.8425293,1.1818181,4.7624512,73.685402,1.1700203,-69.121712,42.88888889,8.577777778,7.653115,-4,hyperpolarized,0,0,1,7,12,16,19,22,24,27,28,,,,,,,,,
Sst-IRES-Cre;Ai14-628999.04.04.02,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,46.783447,87.105515,365.90576,-86.05957,0.90576172,0.5,2.1163316,158.55011,0.9015761,-67.451042,17.45454545,3.490909091,7.457735,0,no change,1,10,16,21,25,28,31,32,34,34,,,,,,,,,,
Sst-IRES-Cre;Ai14-628999.04.04.02,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,43.97583,81.382645,307.31201,-78.735352,0.96569824,0.5,2.1494486,181.68008,0.85024631,-66.367004,17.33333333,3.466666667,6.2404528,0,no change,1,10,16,20,24,27,29,31,32,31,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-629892.15.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,35.736084,76.234207,365.90576,-131.53076,0.5925293,2.1818182,7.8787909,68.561897,1.1576103,-66.528976,154.5384615,30.90769231,9.307178,0,no change,0,0,0,9,19,27,35,39,46,49,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-629892.15.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,47.210693,88.207336,455.93262,-134.27734,0.56835938,2.6818182,8.8596096,56.329861,1.188018,-67.81144,176,35.2,14.681191,0,no change,0,0,0,0,1,4,9,14,19,24,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-629891.15.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,46.081543,84.671021,424.80469,-108.64258,0.68115234,1.3181819,4.6860099,90.936157,1.1082169,-69.036621,76.21428571,15.24285714,17.22427,-2,hyperpolarized,0,0,8,13,19,21,25,27,29,32,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-629891.15.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,41.046143,81.513405,377.80762,-102.23389,0.72570801,1.7727273,4.7328763,86.832512,1.0931048,-69.004646,79.09090909,15.81818182,12.603409,-2,hyperpolarized,0,0,5,12,18,22,26,29,32,33,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-629892.13.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,47.943115,88.732956,432.12891,-133.05664,0.64978027,2,5.2627182,81.091209,1.2398516,-65.901924,80.6,16.12,6.897123,-2,hyperpolarized,0,0,9,15,20,25,29,32,35,38,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-629892.13.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,45.593262,85.661743,415.64941,-136.71875,0.62280273,2,5.4609985,75.716667,1.1812507,-65.892982,53.5,10.7,6.428655,-2,hyperpolarized,0,0,6,13,19,24,29,33,37,39,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-629896.05.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,51.361084,92.379585,364.07471,-89.111328,0.91918945,0.72727275,4.2581038,93.989769,1.0901885,-67.74247,78,15.6,10.0168079,0,no change,0,0,5,12,17,21,24,29,30,31,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-629896.05.04.01,mouse,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,49.804688,90.454193,344.54346,-93.383789,0.92456055,1.3181819,4.3375902,111.4687,1.117113,-65.276039,83.8,16.76,9.9440689,0,no change,0,4,11,18,21,24,26,27,28,29,,,,,,,,,,
H22.03.305.11.10.01.01,human,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,53.833008,89.600677,307.00684,-80.26123,1.0018311,0.5,2.7099397,52.830986,1.037154,-66.793724,33.6,6.72,10.95181,0,no change,0,0,0,0,0,2,2,7,9,11,,,,,,,,,,
H22.03.305.11.10.01.01,human,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,51.574707,86.19046,283.20312,-79.040527,1.0167236,0.68181819,2.3688488,51.678219,1.1754965,-57.781635,49.44444444,9.888888889,8.99891,0,no change,0,0,0,1,6,8,10,11,13,14,,,,,,,,,,
H22.03.305.11.10.01.02,human,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,0,0,excitatory,,53.924561,87.136925,325.62256,-74.157715,0.99597168,0.5,1.5524536,202.31705,1.033092,-59.202,10.4,2.08,12.38898,-2,hyperpolarized,0,4,8,10,12,13,14,15,16,17,,,,,,,,,,
H22.03.305.11.10.01.02,human,3 second puff,50uM psilocin + 0.1mM ascorbate in DMSO,1,0,excitatory,,53.741455,86.188988,303.95508,-72.021484,1.0490723,0.5,2.2315722,167.40654,1.0502018,-63.038998,27.35714286,5.471428571,13.20144,-2,hyperpolarized,0,0,2,4,7,8,10,10,11,12,,,,,,,,,,
